ID_Cliente,Nome,Idade,Estado,Cidade,Renda_Mensal,Score_Credito,Tempo_Banco_Meses,Tempo_Emprego,Tipo_Emprego,Escolaridade,Historico_Inadimplencia,Qtde_Emprestimos_Ativos,Qtde_Cartoes,Valor_Solicitado,Renda_Anual,Patrimonio_Liquido,Divida_Total,Parcelas_Mensais,Limite_Credito,Utilizacao_Credito,Endividamento_%,Valor_vs_Renda,Aprovado
CL_0001,Dr. Bento Cassiano,56,GO,da Cunha,8382,584,154,45,CLT,Superior,0,3,1,56918,100584,688,327792.6143892438,561.5799900800566,12458.319012359463,0.82,6.7,6.79,0
CL_0002,Hadassa da Rocha,69,CE,das Neves do Oeste,3406,815,111,11,CLT,Médio,0,4,4,92281,40872,1243,59736.38211913809,890.0026199736296,12570.658296824828,0.62,26.1,27.09,0
CL_0003,Antonella da Rosa,46,MA,Andrade do Oeste,4586,398,78,69,Autônomo,Pós-graduação,0,0,2,63694,55032,10329,274262.74626999855,1514.039475388603,43204.85227089409,0.94,33.0,13.89,0
CL_0004,Sr. Fernando Cunha,32,RO,Dias,15003,696,32,16,CLT,Médio,0,1,2,30455,180036,7114,806022.3454221998,3821.97092202121,26412.281809967724,0.65,25.5,2.03,1
CL_0005,Pedro Miguel Almeida,60,PR,Teixeira do Sul,9652,788,60,114,Autônomo,Médio,1,3,3,39735,115824,5927,302945.21987636696,3850.739060170325,25297.973305591233,0.22,39.9,4.12,0
CL_0006,Dr. Theodoro da Cunha,25,RR,Rodrigues Paulista,7250,338,232,146,PJ,Médio,1,3,2,95702,87000,443,360534.46372807375,1519.261244207849,62614.58857932593,0.73,21.0,13.2,0
CL_0007,Mathias da Mota,38,AP,Gomes da Serra,14272,570,119,153,CLT,Médio,1,1,2,94608,171264,43963,701757.761870933,4454.142946194639,154403.18318090605,0.65,31.2,6.63,0
CL_0008,Alexandre Cavalcante,56,BA,Fonseca de Sá,11767,456,161,47,CLT,Médio,1,3,2,13109,141204,46954,660907.4331975065,3336.234581374459,93795.36953864533,0.99,28.4,1.11,0
CL_0009,Thales Moraes,36,AM,da Rosa do Galho,26789,374,102,107,CLT,Superior,1,3,2,46802,321468,102471,1356764.3204298166,10635.262254802366,92293.50545143933,0.21,39.7,1.75,0
CL_0010,Sr. Lucas Gabriel Aragão,40,DF,Porto,2562,429,194,235,CLT,Superior,0,4,2,69020,30744,839,100041.84470830864,767.6434818526402,4067.306675898779,0.6,30.0,26.94,0
CL_0011,Maria Júlia Melo,28,PE,Cunha,19860,986,21,51,PJ,Superior,0,4,4,35622,238320,111350,735357.3852784027,2133.177614374216,154240.5532239411,0.78,10.7,1.79,1
CL_0012,Caroline da Rocha,28,PB,Cavalcante de Vieira,19180,383,178,95,CLT,Médio,0,1,1,3597,230160,51352,550094.0720637785,7373.390363178938,29180.151971916974,0.34,38.4,0.19,0
CL_0013,Nicole Novaes,41,PR,Nascimento da Serra,7729,321,175,69,CLT,Superior,0,0,5,41597,92748,42259,293990.7216664383,2192.8875641197515,59822.01613403624,0.38,28.4,5.38,0
